                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4811,                 4.7018,                 1.5877,                0.86965,                0.11111,                0.13056,                0.10404,                 1.1834,                 4.9436,                 1.4141,              1.764e-05,              1.764e-05,              1.764e-05
                      2,                 1.4392,                 4.3798,                 1.5877,                0.99356,                0.11111,                0.16599,                0.12882,                 1.1391,                 4.8989,                 1.3831,             3.9123e-05,             3.9123e-05,             3.9123e-05
                      3,                 1.3263,                 3.5743,                 1.4975,                 0.6963,                0.25463,                  0.258,                0.19601,                 1.0946,                  6.639,                 1.3458,             5.8277e-05,             5.8277e-05,             5.8277e-05
                      4,                 1.1763,                 2.8811,                 1.4315,                0.27481,                0.33333,                0.30055,                0.24213,                 1.0064,                 9.3957,                 1.2852,             7.5102e-05,             7.5102e-05,             7.5102e-05
                      5,                 1.0912,                 2.3961,                 1.3547,                0.29517,                0.48051,                0.41883,                0.31909,                0.98749,                   6.98,                 1.2737,             8.9599e-05,             8.9599e-05,             8.9599e-05
                      6,                 1.0949,                 2.3736,                 1.3422,                0.38537,                0.56944,                0.43068,                0.32383,                0.94467,                 4.6684,                 1.2338,             0.00010177,             0.00010177,             0.00010177
                      7,                 1.0358,                 2.1495,                 1.3385,                0.69112,                0.41435,                0.50151,                0.35732,                0.95952,                 3.1061,                 1.2209,             0.00011161,             0.00011161,             0.00011161
                      8,                0.95049,                  1.789,                 1.2539,                0.78229,                0.40046,                0.49506,                0.35113,                0.95219,                 2.5851,                 1.2069,             0.00011912,             0.00011912,             0.00011912
                      9,                0.92087,                 1.7357,                 1.2211,                0.79292,                0.52632,                0.53975,                0.38187,                0.92422,                 2.4135,                 1.1891,              0.0001243,              0.0001243,              0.0001243
                     10,                0.85935,                 1.5411,                 1.1918,                0.82669,                0.52973,                0.71906,                0.49819,                0.90979,                 2.0627,                 1.1725,             0.00012716,             0.00012716,             0.00012716
                     11,                0.87957,                 1.7628,                 1.1837,                0.34448,                0.71296,                0.70868,                0.49259,                0.86166,                 1.8957,                  1.128,             0.00012768,             0.00012768,             0.00012768
                     12,                0.93598,                 1.6911,                 1.2943,                0.60878,                0.65139,                0.71371,                0.50345,                0.89247,                 1.8196,                 1.1344,             0.00012588,             0.00012588,             0.00012588
                     13,                0.90009,                 1.6306,                   1.21,                0.75747,                0.62584,                0.72048,                0.48642,                0.97618,                 1.8695,                 1.1944,             0.00012175,             0.00012175,             0.00012175
                     14,                   0.87,                 1.4779,                 1.2163,                0.74813,                0.64865,                0.72796,                0.50034,                 1.0003,                 1.8592,                 1.2137,             0.00011529,             0.00011529,             0.00011529
                     15,                0.89452,                 1.4377,                 1.2144,                0.74663,                0.70762,                0.76734,                0.52571,                0.99147,                 1.8114,                 1.2142,              0.0001065,              0.0001065,              0.0001065
                     16,                0.84494,                 1.3706,                 1.1946,                0.60083,                0.75513,                0.77228,                0.54865,                0.94907,                 1.7575,                 1.1983,             9.5388e-05,             9.5388e-05,             9.5388e-05
                     17,                0.78742,                 1.2959,                 1.1765,                0.56228,                0.75694,                 0.7767,                 0.5658,                0.90804,                 1.6643,                  1.174,             8.1944e-05,             8.1944e-05,             8.1944e-05
                     18,                0.82395,                 1.2555,                 1.2058,                0.55832,                0.77083,                0.77881,                0.57672,                0.87459,                 1.4831,                 1.1502,             6.6171e-05,             6.6171e-05,             6.6171e-05
                     19,                 0.7651,                  1.192,                 1.1209,                0.54772,                0.77083,                0.78674,                0.58399,                0.86115,                 1.3985,                 1.1445,             4.8069e-05,             4.8069e-05,             4.8069e-05
                     20,                0.77303,                 1.1922,                 1.1434,                0.65395,                0.77083,                0.79334,                0.62104,                0.85526,                 1.3526,                 1.1385,             2.7639e-05,             2.7639e-05,             2.7639e-05
